time_mjd,flux_ratio,flux_error
60969.18520964,1.00185498,0.00181128
60969.18632032,1.00059688,0.00180308
60969.18743065,0.99567608,0.00180681
60969.18854052,0.99698843,0.00182336
60969.18965085,1.00170114,0.00191491
60969.19076119,1.00202493,0.00185258
60969.19187141,0.99749297,0.00184433
60969.19298174,1.00141295,0.00186227
60969.19409138,1.00001262,0.00181550
60969.19520217,0.99887488,0.00181037
60969.19631181,0.99728712,0.00181215
60969.19742203,1.00138422,0.00182105
60969.19853202,1.00178826,0.00182705
60969.19964270,0.99605066,0.00179744
60969.20075280,0.99930675,0.00183890
60969.20186325,0.99667563,0.00180022
60969.20297289,1.00130074,0.00181639
60969.20408287,1.00011408,0.00183205
60969.20519320,1.00063647,0.00180617
60969.20630319,0.99850698,0.00182353
60969.20741318,1.00486831,0.00179935
60969.20852339,1.00025440,0.00181457
60969.20963315,0.99837446,0.00181900
60969.21074290,1.00104964,0.00179656
60969.21185289,1.00307924,0.00180620
60969.21296334,0.99987269,0.00185029
60969.21407321,0.99891414,0.00177169
60969.21518424,1.00394427,0.00179437
60969.21629457,0.99873498,0.00176196
60969.21740444,1.00142255,0.00176203
60969.21851477,1.00134345,0.00179239
60969.21962453,0.99419616,0.00179066
60969.22073486,0.99929917,0.00184146
60969.22184462,1.00071243,0.00184568
60969.22295437,0.99736606,0.00177462
60969.22406493,0.99563528,0.00177592
60969.22517504,0.99724346,0.00180154
60969.22628479,0.99470090,0.00175489
60969.22739466,0.99719849,0.00177445
60969.22850557,0.99688712,0.00179828
60969.22961556,0.99569919,0.00174988
60969.23072566,0.99567800,0.00176181
60969.23183611,0.99198767,0.00175150
60969.23294667,0.99397142,0.00174132
60969.23405701,0.99327073,0.00175089
60969.23516722,0.99070335,0.00175475
60969.23627767,0.99337418,0.00177477
60969.23738754,0.99362994,0.00177055
60969.23849869,0.98944585,0.00179583
60969.23960891,0.99542972,0.00188860
60969.24071901,0.99208557,0.00178739
60969.24182853,0.99044751,0.00183367
60969.24293886,0.99250921,0.00186247
60969.24404931,0.99010373,0.00190848
60969.24515918,0.99123334,0.00180051
60969.24626905,0.98987981,0.00181444
60969.24738031,0.98840645,0.00177495
60969.24849053,0.98795441,0.00177335
60969.24960051,0.99059599,0.00179462
60969.25071015,0.98884723,0.00181066
60969.25182014,0.99085296,0.00184524
60969.25293001,0.99021214,0.00179770
60969.25404173,0.99176990,0.00182444
60969.25515102,0.98595014,0.00182066
60969.25626089,0.98922827,0.00181937
60969.25737088,0.98533991,0.00178038
60969.25848110,0.98977828,0.00189577
60969.25959178,0.99050780,0.00181444
60969.26070211,0.99084833,0.00180499
60969.26181221,0.99075473,0.00175598
60969.26292197,0.98794105,0.00176754
60969.26403207,0.98936933,0.00176531
60969.26514205,0.98794262,0.00179505
60969.26625262,0.99020677,0.00176491
60969.26736295,0.99419278,0.00178237
60969.26847259,0.99059291,0.00178371
60969.26958281,0.99152649,0.00181546
60969.27069314,0.99130082,0.00180745
60969.27180313,0.99345651,0.00179042
60969.27291288,0.99238921,0.00182201
60969.27402321,0.99433679,0.00188793
60969.27513390,0.99482737,0.00183601
60969.27624423,0.99275798,0.00184825
60969.27735549,0.99032894,0.00183740
60969.27846536,0.99798817,0.00182835
60969.27957511,0.99287973,0.00185731
60969.28068568,0.99348332,0.00183039
60969.28179531,0.99616745,0.00185432
60969.28290600,0.99410413,0.00185221
60969.28401563,0.99835223,0.00185094
60969.28512597,0.99639439,0.00188168
60969.28623642,1.00058527,0.00186686
60969.28734744,0.99472932,0.00188065
60969.28845755,0.99558576,0.00192368
60969.28956742,0.99737719,0.00191967
60969.29067775,1.00028100,0.00193123
60969.29178785,0.99791147,0.00186714
60969.29289784,0.99662344,0.00186067
60969.29400852,0.99841121,0.00187656
60969.29511920,0.99668335,0.00187252
60969.29622953,1.00163988,0.00188875
60969.29733952,0.99776372,0.00185014
60969.29844950,1.00153675,0.00187582
60969.29956053,0.99808101,0.00187534
60969.30067133,1.00094338,0.00187724
60969.30178212,0.99718332,0.00185625
60969.30289315,0.99898778,0.00188967
60969.30400441,1.00320347,0.00191327
60969.30511428,1.00161574,0.00188991
60969.30622531,0.99986544,0.00190975
60969.30733610,1.00200174,0.00190812
60969.30844678,1.00247562,0.00190801
60969.30955735,1.00138217,0.00193083
60969.31066837,0.99885522,0.00190807
60969.31177871,0.99998738,0.00198523
60969.31288939,1.00091891,0.00196362
60969.31400018,1.00398478,0.00193187
60969.31511156,0.99898018,0.00190383
60969.31622247,0.99770553,0.00190239
60969.31733315,1.00661430,0.00193518
