time_mjd,flux_ratio,flux_error
60969.18520964,1.04459665,0.00188855
60969.18632032,1.04332626,0.00188008
60969.18743065,1.03823650,0.00188404
60969.18854052,1.03964616,0.00190138
60969.18965085,1.04460193,0.00199692
60969.19076119,1.04498102,0.00193199
60969.19187141,1.04029602,0.00192347
60969.19298174,1.04442562,0.00194225
60969.19409138,1.04300647,0.00189355
60969.19520217,1.04186113,0.00188828
60969.19631181,1.04024625,0.00189021
60969.19742203,1.04456125,0.00189957
60969.19853202,1.04502412,0.00190590
60969.19964270,1.03908010,0.00187508
60969.20075280,1.04251816,0.00191841
60969.20186325,1.03981448,0.00187813
60969.20297289,1.04468117,0.00189508
60969.20408287,1.04348443,0.00191150
60969.20519320,1.04407085,0.00188457
60969.20630319,1.04189021,0.00190276
60969.20741318,1.04856946,0.00187760
60969.20852339,1.04379626,0.00189356
60969.20963315,1.04187574,0.00189826
60969.21074290,1.04470886,0.00187492
60969.21185289,1.04686845,0.00188505
60969.21296334,1.04356327,0.00193114
60969.21407321,1.04260411,0.00184918
60969.21518424,1.04789580,0.00187293
60969.21629457,1.04249974,0.00183917
60969.21740444,1.04534647,0.00183932
60969.21851477,1.04530532,0.00187108
60969.21962453,1.03788533,0.00186935
60969.22073486,1.04325391,0.00192246
60969.22184462,1.04477068,0.00192694
60969.22295437,1.04131821,0.00185283
60969.22406493,1.03955234,0.00185426
60969.22517504,1.04127268,0.00188108
60969.22628479,1.03865898,0.00183245
60969.22739466,1.04130816,0.00185294
60969.22850557,1.04102426,0.00187790
60969.22961556,1.03982489,0.00182743
60969.23072566,1.03984393,0.00183996
60969.23183611,1.03603093,0.00182927
60969.23294667,1.03814386,0.00181870
60969.23405701,1.03745311,0.00182878
60969.23516722,1.03481249,0.00183288
60969.23627767,1.03764332,0.00185386
60969.23738754,1.03795155,0.00184953
60969.23849869,1.03362176,0.00187601
60969.23960891,1.03991395,0.00197299
60969.24071901,1.03646137,0.00186734
60969.24182853,1.03479097,0.00191577
60969.24293886,1.03698602,0.00194593
60969.24404931,1.03451368,0.00199408
60969.24515918,1.03573494,0.00188134
60969.24626905,1.03436156,0.00189598
60969.24738031,1.03286289,0.00185479
60969.24849053,1.03243137,0.00185319
60969.24960051,1.03523282,0.00187548
60969.25071015,1.03344613,0.00189232
60969.25182014,1.03558328,0.00192854
60969.25293001,1.03495446,0.00187893
60969.25404173,1.03662367,0.00190695
60969.25515102,1.03058144,0.00190307
60969.25626089,1.03404885,0.00190181
60969.25737088,1.03002505,0.00186112
60969.25848110,1.03470561,0.00198182
60969.25959178,1.03550923,0.00189687
60969.26070211,1.03590620,0.00188707
60969.26181221,1.03584930,0.00183590
60969.26292197,1.03294839,0.00184806
60969.26403207,1.03448264,0.00184580
60969.26514205,1.03303171,0.00187697
60969.26625262,1.03544015,0.00184553
60969.26736295,1.03964936,0.00186387
60969.26847259,1.03592583,0.00186534
60969.26958281,1.03694313,0.00189862
60969.27069314,1.03674811,0.00189032
60969.27180313,1.03904371,0.00187258
60969.27291288,1.03796845,0.00190569
60969.27402321,1.04004659,0.00197472
60969.27513390,1.04060087,0.00192048
60969.27624423,1.03847732,0.00193337
60969.27735549,1.03597740,0.00192210
60969.27846536,1.04403092,0.00191270
60969.27957511,1.03872784,0.00194307
60969.28068568,1.03940039,0.00191498
60969.28179531,1.04224974,0.00194010
60969.28290600,1.04013210,0.00193797
60969.28401563,1.04461815,0.00193671
60969.28512597,1.04261077,0.00196896
60969.28623642,1.04703743,0.00195353
60969.28734744,1.04095077,0.00196803
60969.28845755,1.04188816,0.00201315
60969.28956742,1.04380413,0.00200903
60969.29067775,1.04688448,0.00202121
60969.29178785,1.04444581,0.00195421
60969.29289784,1.04313892,0.00194752
60969.29400852,1.04505143,0.00196423
60969.29511920,1.04328408,0.00196007
60969.29622953,1.04851377,0.00197714
60969.29733952,1.04449747,0.00193680
60969.29844950,1.04848862,0.00196376
60969.29956053,1.04491217,0.00196333
60969.30067133,1.04795026,0.00196540
60969.30178212,1.04405487,0.00194350
60969.30289315,1.04598548,0.00197857
60969.30400441,1.05044101,0.00200336
60969.30511428,1.04881992,0.00197897
60969.30622531,1.04702850,0.00199984
60969.30733610,1.04930702,0.00199820
60969.30844678,1.04984474,0.00199817
60969.30955735,1.04874104,0.00202215
60969.31066837,1.04613591,0.00199839
60969.31177871,1.04736301,0.00207929
60969.31288939,1.04838008,0.00205673
60969.31400018,1.05163286,0.00202356
60969.31511156,1.04643209,0.00199426
60969.31622247,1.04513817,0.00199284
60969.31733315,1.05451212,0.00202726
